id,title,authors,year,venue,citation_count,doi,source_url,oa_url,pdf_path
67571d29190faea9fbd104acd16274f8c4edf254,MLP-Mixer: An all-MLP Architecture for Vision,I. Tolstikhin | N. Houlsby | Alexander Kolesnikov | Lucas Beyer | Xiaohua Zhai | Thomas Unterthiner | Jessica Yung | Daniel Keysers | Jakob Uszkoreit | M. Lučić | Alexey Dosovitskiy,2021,Neural Information Processing Systems,3542,,,https://arxiv.org/pdf/2105.01601,data\pdfs\67571d29190faea9fbd104acd16274f8c4edf254.pdf
d40c77c010c8dbef6142903a02f2a73a85012d5d,A Survey on Vision Transformer,Kai Han | Yunhe Wang | Hanting Chen | Xinghao Chen | Jianyuan Guo | Zhenhua Liu | Yehui Tang | An Xiao | Chunjing Xu | Yixing Xu | Zhaohui Yang | Yiman Zhang | D. Tao,2020,IEEE Transactions on Pattern Analysis and Machine Intelligence,3488,10.1109/TPAMI.2022.3152247,https://doi.org/10.1109/TPAMI.2022.3152247,https://arxiv.org/pdf/2012.12556,data\pdfs\d40c77c010c8dbef6142903a02f2a73a85012d5d.pdf
3a906b77fa218adc171fecb28bb81c24c14dcc7b,Transformers in Vision: A Survey,Salman Hameed Khan | Muzammal Naseer | Munawar Hayat | Syed Waqas Zamir | F. Khan | M. Shah,2021,ACM Computing Surveys,3475,10.1145/3505244,https://doi.org/10.1145/3505244,https://arxiv.org/pdf/2101.01169,data\pdfs\3a906b77fa218adc171fecb28bb81c24c14dcc7b.pdf
8bd6a2a89503be083176f2cc26fabedb79238cbd,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,Wenliang Dai | Junnan Li | Dongxu Li | A. Tiong | Junqi Zhao | Weisheng Wang | Boyang Albert Li | Pascale Fung | Steven C. H. Hoi,2023,Neural Information Processing Systems,3358,10.48550/arXiv.2305.06500,https://doi.org/10.48550/arXiv.2305.06500,http://arxiv.org/pdf/2305.06500,data\pdfs\8bd6a2a89503be083176f2cc26fabedb79238cbd.pdf
b6382a7351c0c595f91472ac71d3b2d87b3c4844,ViViT: A Video Vision Transformer,Anurag Arnab | Mostafa Dehghani | G. Heigold | Chen Sun | M. Lučić | C. Schmid,2021,IEEE International Conference on Computer Vision,2947,10.1109/ICCV48922.2021.00676,https://doi.org/10.1109/ICCV48922.2021.00676,https://arxiv.org/pdf/2103.15691,data\pdfs\b6382a7351c0c595f91472ac71d3b2d87b3c4844.pdf
79c93274429d6355959f1e4374c2147bb81ea649,LXMERT: Learning Cross-Modality Encoder Representations from Transformers,Hao Hao Tan | Mohit Bansal,2019,Conference on Empirical Methods in Natural Language Processing,2890,10.18653/v1/D19-1514,https://doi.org/10.18653/v1/D19-1514,https://www.aclweb.org/anthology/D19-1514.pdf,data\pdfs\79c93274429d6355959f1e4374c2147bb81ea649.pdf
e1d082562981a9f51649c60663aa484ee623dbb0,Point Transformer,Nico Engel | Vasileios Belagiannis | K. Dietmayer,2020,IEEE Access,2867,10.1109/ACCESS.2021.3116304,https://doi.org/10.1109/ACCESS.2021.3116304,https://arxiv.org/pdf/2012.09164,data\pdfs\e1d082562981a9f51649c60663aa484ee623dbb0.pdf
b82c5f9efdb2ae56baa084ca41aeddd8a665c1d1,Align before Fuse: Vision and Language Representation Learning with Momentum Distillation,Junnan Li | Ramprasaath R. Selvaraju | Akhilesh Deepak Gotmare | Shafiq R. Joty | Caiming Xiong | S. Hoi,2021,Neural Information Processing Systems,2714,,,https://arxiv.org/pdf/2107.07651,data\pdfs\b82c5f9efdb2ae56baa084ca41aeddd8a665c1d1.pdf
be0fbb810583930c071d0b9b2c5187fe260783f5,Swin Transformer V2: Scaling Up Capacity and Resolution,Ze Liu | Han Hu | Yutong Lin | Zhuliang Yao | Zhenda Xie | Yixuan Wei | Jia Ning | Yue Cao | Zheng Zhang | Li Dong | Furu Wei | B. Guo,2021,Computer Vision and Pattern Recognition,2708,10.1109/CVPR52688.2022.01170,https://doi.org/10.1109/CVPR52688.2022.01170,https://arxiv.org/pdf/2111.09883,data\pdfs\be0fbb810583930c071d0b9b2c5187fe260783f5.pdf
8e33914d6051dd031a5e096962b9398fc1d16067,Vision Transformers for Dense Prediction,René Ranftl | Alexey Bochkovskiy | V. Koltun,2021,IEEE International Conference on Computer Vision,2649,10.1109/ICCV48922.2021.01196,https://doi.org/10.1109/ICCV48922.2021.01196,https://arxiv.org/pdf/2103.13413,data\pdfs\8e33914d6051dd031a5e096962b9398fc1d16067.pdf
adb272fbdea3631059cf88ab764bb6c2ce29f965,Visual Prompt Tuning,Menglin Jia | Luming Tang | Bor-Chun Chen | C. Cardie | Serge J. Belongie | Bharath Hariharan | S. Lim,2022,European Conference on Computer Vision,2528,10.48550/arXiv.2203.12119,https://doi.org/10.48550/arXiv.2203.12119,http://arxiv.org/pdf/2203.12119,data\pdfs\adb272fbdea3631059cf88ab764bb6c2ce29f965.pdf
dbe077f8521ecbe0a1477d6148c726d4f053d9c9,Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet,Li Yuan | Yunpeng Chen | Tao Wang | Weihao Yu | Yujun Shi | Francis E. H. Tay | Jiashi Feng | Shuicheng Yan,2021,IEEE International Conference on Computer Vision,2462,10.1109/ICCV48922.2021.00060,https://doi.org/10.1109/ICCV48922.2021.00060,https://arxiv.org/pdf/2101.11986,data\pdfs\dbe077f8521ecbe0a1477d6148c726d4f053d9c9.pdf
e775e649d815a02373eac840cf5e33a04ff85c95,CvT: Introducing Convolutions to Vision Transformers,Haiping Wu | Bin Xiao | N. Codella | Mengchen Liu | Xiyang Dai | Lu Yuan | Lei Zhang,2021,IEEE International Conference on Computer Vision,2400,10.1109/ICCV48922.2021.00009,https://doi.org/10.1109/ICCV48922.2021.00009,http://arxiv.org/pdf/2103.15808,data\pdfs\e775e649d815a02373eac840cf5e33a04ff85c95.pdf
67040b931c1a384426c44ae73f9553e97f08cf6a,PVT v2: Improved baselines with Pyramid Vision Transformer,Wenhai Wang | Enze Xie | Xiang Li | Deng-Ping Fan | Kaitao Song | Ding Liang | Tong Lu | P. Luo | Ling Shao,2021,Computational Visual Media,2371,10.1007/s41095-022-0274-8,https://doi.org/10.1007/s41095-022-0274-8,https://link.springer.com/content/pdf/10.1007/s41095-022-0274-8.pdf,data\pdfs\67040b931c1a384426c44ae73f9553e97f08cf6a.pdf
739ceacfafb1c4eaa17509351b647c773270b3ae,An Empirical Study of Training Self-Supervised Vision Transformers,Xinlei Chen | Saining Xie | Kaiming He,2021,IEEE International Conference on Computer Vision,2340,10.1109/ICCV48922.2021.00950,https://doi.org/10.1109/ICCV48922.2021.00950,https://arxiv.org/pdf/2104.02057,data\pdfs\739ceacfafb1c4eaa17509351b647c773270b3ae.pdf
5aec474c31a2f4b74703c6f786c0a8ff85c450da,VisualBERT: A Simple and Performant Baseline for Vision and Language,Liunian Harold Li | Mark Yatskar | Da Yin | Cho-Jui Hsieh | Kai-Wei Chang,2019,arXiv.org,2300,,,https://arxiv.org/pdf/1908.03557,data\pdfs\5aec474c31a2f4b74703c6f786c0a8ff85c450da.pdf
0839722fb5369c0abaff8515bfc08299efc790a1,ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision,Wonjae Kim | Bokyung Son | Ildoo Kim,2021,International Conference on Machine Learning,2263,,,https://arxiv.org/pdf/2102.03334,data\pdfs\0839722fb5369c0abaff8515bfc08299efc790a1.pdf
6f6f73e69ee0d9d5d7d088bb882db1851d98175a,Pre-Trained Image Processing Transformer,Hanting Chen | Yunhe Wang | Tianyu Guo | Chang Xu | Yiping Deng | Zhenhua Liu | Siwei Ma | Chunjing Xu | Chao Xu | Wen Gao,2020,Computer Vision and Pattern Recognition,2182,10.1109/CVPR46437.2021.01212,https://doi.org/10.1109/CVPR46437.2021.01212,https://arxiv.org/pdf/2012.00364,data\pdfs\6f6f73e69ee0d9d5d7d088bb882db1851d98175a.pdf
da74a10824193be9d3889ce0d6ed4c6f8ee48b9e,"MobileViT: Light-weight, General-purpose, and Mobile-friendly Vision Transformer",Sachin Mehta | Mohammad Rastegari,2021,International Conference on Learning Representations,2169,,,https://arxiv.org/pdf/2110.02178,data\pdfs\da74a10824193be9d3889ce0d6ed4c6f8ee48b9e.pdf
fd1cf28a2b8caf2fe29af5e7fa9191cecfedf84d,RT-1: Robotics Transformer for Real-World Control at Scale,Anthony Brohan | Noah Brown | Justice Carbajal | Yevgen Chebotar | Joseph Dabis | Chelsea Finn | K. Gopalakrishnan | Karol Hausman | Alexander Herzog | Jasmine Hsu | Julian Ibarz | Brian Ichter | A. Irpan | Tomas Jackson | Sally Jesmonth | Nikhil J. Joshi | Ryan C. Julian | Dmitry Kalashnikov | Yuheng Kuang | Isabel Leal | Kuang-Huei Lee | S. Levine | Yao Lu | U. Malla | D. Manjunath | Igor Mordatch | Ofir Nachum | Carolina Parada | Jodilyn Peralta | Emily Perez | Karl Pertsch | Jornell Quiambao | Kanishka Rao | M. Ryoo | Grecia Salazar | Pannag R. Sanketi | Kevin Sayed | Jaspiar Singh | S. Sontakke | Austin Stone | Clayton Tan | Huong Tran | Vincent Vanhoucke | Steve Vega | Q. Vuong | F. Xia | Ted Xiao | Peng Xu | Sichun Xu | Tianhe Yu | Brianna Zitkovich,2022,Robotics: Science and Systems,2131,10.48550/arXiv.2212.06817,https://doi.org/10.48550/arXiv.2212.06817,https://arxiv.org/pdf/2212.06817,data\pdfs\fd1cf28a2b8caf2fe29af5e7fa9191cecfedf84d.pdf
f7410f535bda5b5a9888512fb954193245c1d0b2,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors in MRI Images,Ali Hatamizadeh | V. Nath | Yucheng Tang | Dong Yang | H. Roth | Daguang Xu,2022,BrainLes@MICCAI,2117,10.1007/978-3-031-08999-2_22,https://doi.org/10.1007/978-3-031-08999-2_22,https://arxiv.org/pdf/2201.01266,data\pdfs\f7410f535bda5b5a9888512fb954193245c1d0b2.pdf
0eff37167876356da2163b2e396df2719adf7de9,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,Chun-Fu Chen | Quanfu Fan | Rameswar Panda,2021,IEEE International Conference on Computer Vision,2078,10.1109/ICCV48922.2021.00041,https://doi.org/10.1109/ICCV48922.2021.00041,https://arxiv.org/pdf/2103.14899,data\pdfs\0eff37167876356da2163b2e396df2719adf7de9.pdf
